Date,County,Count,Deaths
5/19/2020,Hampshire,805,
5/19/2020,Middlesex,20107,
5/19/2020,Nantucket,12,
5/19/2020,Norfolk,7959,
5/19/2020,Plymouth,7449,
5/19/2020,Suffolk,17278,
5/19/2020,Worcester,9757,
5/19/2020,Unknown,324,
5/19/2020,Dukes and Nantucket,,
5/20/2020,Barnstable,1275,
5/20/2020,Berkshire,518,
5/20/2020,Bristol,6295,
5/20/2020,Dukes,36,
5/20/2020,Essex,13252,
5/20/2020,Franklin,320,
5/20/2020,Hampden,5523,
5/20/2020,Hampshire,817,
5/20/2020,Middlesex,20331,
5/20/2020,Nantucket,12,
5/20/2020,Norfolk,8011,
5/20/2020,Plymouth,7542,
5/20/2020,Suffolk,17434,
5/20/2020,Worcester,9958,
5/20/2020,Unknown,330,
5/20/2020,Dukes and Nantucket,,
5/21/2020,Barnstable,1282,
5/21/2020,Berkshire,529,
5/21/2020,Bristol,6421,
5/21/2020,Dukes,38,
5/21/2020,Essex,13411,
5/21/2020,Franklin,321,
5/21/2020,Hampden,5602,
5/21/2020,Hampshire,833,
5/21/2020,Middlesex,20580,
5/21/2020,Nantucket,13,
5/21/2020,Norfolk,8101,
5/21/2020,Plymouth,7636,
5/21/2020,Suffolk,17572,
5/21/2020,Worcester,10181,
5/21/2020,Unknown,340,
5/21/2020,Dukes and Nantucket,,
5/22/2020,Barnstable,1346,
5/22/2020,Berkshire,531,
5/22/2020,Bristol,6503,
5/22/2020,Dukes,38,
5/22/2020,Essex,13580,
5/22/2020,Franklin,321,
5/22/2020,Hampden,5683,
5/22/2020,Hampshire,840,
5/22/2020,Middlesex,20776,
5/22/2020,Nantucket,13,
5/22/2020,Norfolk,8148,
5/22/2020,Plymouth,7704,
5/22/2020,Suffolk,17680,
5/22/2020,Worcester,10301,
5/22/2020,Unknown,332,
5/22/2020,Dukes and Nantucket,,
5/23/2020,Barnstable,1357,
5/23/2020,Berkshire,536,
5/23/2020,Bristol,6569,
5/23/2020,Dukes,39,
5/23/2020,Essex,13699,
5/23/2020,Franklin,323,
5/23/2020,Hampden,5736,
5/23/2020,Hampshire,847,
5/23/2020,Middlesex,20942,
5/23/2020,Nantucket,13,
5/23/2020,Norfolk,8192,
5/23/2020,Plymouth,7768,
5/23/2020,Suffolk,17805,
5/23/2020,Worcester,10460,
5/23/2020,Unknown,355,
5/23/2020,Dukes and Nantucket,,
5/24/2020,Barnstable,1363,
5/24/2020,Berkshire,541,
5/24/2020,Bristol,6741,
5/24/2020,Dukes,39,
5/24/2020,Essex,13833,
5/24/2020,Franklin,325,
5/24/2020,Hampden,5804,
5/24/2020,Hampshire,858,
5/24/2020,Middlesex,21162,
5/24/2020,Nantucket,13,
5/24/2020,Norfolk,8249,
5/24/2020,Plymouth,7850,
5/24/2020,Suffolk,17937,
5/24/2020,Worcester,10649,
5/24/2020,Unknown,344,
5/24/2020,Dukes and Nantucket,,
5/25/2020,Barnstable,1373,
5/25/2020,Berkshire,544,
5/25/2020,Bristol,6828,
5/25/2020,Dukes,39,
5/25/2020,Essex,13962,
5/25/2020,Franklin,326,
5/25/2020,Hampden,5873,
5/25/2020,Hampshire,862,
5/25/2020,Middlesex,21286,
5/25/2020,Nantucket,13,
5/25/2020,Norfolk,8283,
5/25/2020,Plymouth,7887,
5/25/2020,Suffolk,18008,
5/25/2020,Worcester,10735,
5/25/2020,Unknown,347,
5/25/2020,Dukes and Nantucket,,
5/26/2020,Barnstable,1378,
5/26/2020,Berkshire,558,
5/26/2020,Bristol,6880,
5/26/2020,Dukes,39,
5/26/2020,Essex,14064,
5/26/2020,Franklin,327,
5/26/2020,Hampden,5918,
5/26/2020,Hampshire,868,
5/26/2020,Middlesex,21364,
5/26/2020,Nantucket,13,
5/26/2020,Norfolk,8304,
5/26/2020,Plymouth,7927,
5/26/2020,Suffolk,18065,
5/26/2020,Worcester,10788,
5/26/2020,Unknown,333,
5/26/2020,Dukes and Nantucket,,
5/27/2020,Barnstable,1385,
5/27/2020,Berkshire,560,
5/27/2020,Bristol,6928,
5/27/2020,Dukes,39,
5/27/2020,Essex,14182,
5/27/2020,Franklin,329,
5/27/2020,Hampden,5969,
5/27/2020,Hampshire,871,
5/27/2020,Middlesex,21493,
5/27/2020,Nantucket,13,
5/27/2020,Norfolk,8331,
5/27/2020,Plymouth,7953,
5/27/2020,Suffolk,18143,
5/27/2020,Worcester,10887,
5/27/2020,Unknown,345,
5/27/2020,Dukes and Nantucket,,
5/28/2020,Barnstable,1398,
5/28/2020,Berkshire,561,
5/28/2020,Bristol,7007,
5/28/2020,Dukes,39,
5/28/2020,Essex,14309,
5/28/2020,Franklin,331,
5/28/2020,Hampden,6003,
5/28/2020,Hampshire,873,
5/28/2020,Middlesex,21661,
5/28/2020,Nantucket,13,
5/28/2020,Norfolk,8390,
5/28/2020,Plymouth,8026,
5/28/2020,Suffolk,18259,
5/28/2020,Worcester,10974,
5/28/2020,Unknown,354,
5/28/2020,Dukes and Nantucket,,
5/29/2020,Barnstable,1408,
5/29/2020,Berkshire,566,
5/29/2020,Bristol,7089,
5/29/2020,Dukes,39,
5/29/2020,Essex,14415,
5/29/2020,Franklin,333,
5/29/2020,Hampden,6068,
5/29/2020,Hampshire,881,
5/29/2020,Middlesex,21787,
5/29/2020,Nantucket,13,
5/29/2020,Norfolk,8436,
5/29/2020,Plymouth,8071,
5/29/2020,Suffolk,18361,
5/29/2020,Worcester,11086,
5/29/2020,Unknown,327,
5/29/2020,Dukes and Nantucket,,
5/30/2020,Barnstable,1413,
5/30/2020,Berkshire,567,
5/30/2020,Bristol,7251,
5/30/2020,Dukes,39,
5/30/2020,Essex,14528,
5/30/2020,Franklin,334,
5/30/2020,Hampden,6110,
5/30/2020,Hampshire,885,
5/30/2020,Middlesex,21976,
5/30/2020,Nantucket,13,
5/30/2020,Norfolk,8504,
5/30/2020,Plymouth,8128,
5/30/2020,Suffolk,18467,
5/30/2020,Worcester,11184,
5/30/2020,Unknown,374,
5/30/2020,Dukes and Nantucket,,
5/31/2020,Barnstable,1420,
5/31/2020,Berkshire,567,
5/31/2020,Bristol,7322,
5/31/2020,Dukes,40,
5/31/2020,Essex,14658,
5/31/2020,Franklin,335,
5/31/2020,Hampden,6165,
5/31/2020,Hampshire,885,
5/31/2020,Middlesex,22150,
5/31/2020,Nantucket,13,
5/31/2020,Norfolk,8568,
5/31/2020,Plymouth,8171,
5/31/2020,Suffolk,18533,
5/31/2020,Worcester,11307,
5/31/2020,Unknown,334,
5/31/2020,Dukes and Nantucket,,
6/1/2020,Barnstable,1424,118
6/1/2020,Berkshire,567,40
6/1/2020,Bristol,7348,429
6/1/2020,Dukes,40,
6/1/2020,Essex,14721,968
6/1/2020,Franklin,335,47
6/1/2020,Hampden,6188,601
6/1/2020,Hampshire,886,89
6/1/2020,Middlesex,22224,1650
6/1/2020,Nantucket,13,
6/1/2020,Norfolk,8586,841
6/1/2020,Plymouth,8200,562
6/1/2020,Suffolk,18581,896
6/1/2020,Worcester,11352,779
6/1/2020,Unknown,340,14
6/1/2020,Dukes and Nantucket,,1
